NM_000014.6	A2M
NM_001385174.1	USP36
NM_001385193.1	CLEC18B
NM_001385224.1	IL17D
NM_001385261.1	CGB7
NM_001385282.1	GPRIN2
NM_001385305.1	PTPRA
NM_001385364.2	TDRD1
NM_001385.3	DPYS
NM_001385408.1	NBPF15
NM_001385449.1	RTL9
NM_001385465.1	SIGLECL1
NM_001385469.3	NBPF11
NM_001385482.1	HAUS7
NM_001385562.1	ARPP21
NM_001385641.1	SAMD11
NM_001385648.2	B3GNT8
NM_001385662.1	OR52N5
NM_001385682.1	MAP4
NM_001385745.1	ZNF384
NM_001385855.1	OR2L2
NM_001385875.1	ZFYVE27
NM_001385981.1	PXN
NM_001385994.1	FAM13B
NM_001386010.1	ZCWPW1
NM_001386014.1	KRT34
NM_001386033.1	OR11G2
NM_001386051.1	OR2T7
NM_001386064.1	OR8H2
NM_001386094.1	AGBL1
NM_001386095.1	OR4D1
NM_001386096.1	OR2A25
NM_001386098.1	OR3A3
NM_001386125.1	OBSCN
NM_001386130.2	MAGEA2
NM_001386132.1	MAGEA2B
NM_001386135.1	AFF3
NM_001386140.1	MTTP
NM_001386188.2	CENPI
NM_001386298.1	CIC
NM_001386375.1	SERPINE3
NM_001386393.1	PANK2
NM_001386514.1	LOC102725191
NM_001386737.1	TMDD1
NM_001386793.1	PNMA8C
NM_001386794.1	C19orf85
NM_001386795.1	DTNA
NM_001386800.1	THSD8
NM_001386809.1	CXCL16
NM_001386814.1	AIFM3
NM_001386820.1	SMIM34B
NM_001386823.1	B3GALT9
NM_001386841.1	KRTAP4-1
NM_001386863.1	ACIN1
NM_001386879.1	SLCO1A2
NM_001386885.1	APOL4
NM_001386888.1	AFDN
NM_001386889.1	MBNL3
NM_001386928.1	CHURC1
NM_001386936.1	SIPA1L1
NM_001386955.1	XKR3
NM_001386970.1	XAGE5
NM_001386972.1	DMRTC1B
NM_001386974.1	KCNN1
NM_001386991.1	BANP
NM_001386993.1	CTCFL
NM_001387002.1	N4BP2L2
NM_001387010.1	C20orf204
NM_001387011.1	AMBRA1
NM_001387025.1	GRAMD1B
NM_001387048.1	SULF2
NM_001387220.1	IKZF2
NM_001387222.1	LCE4A
NM_001387263.1	PATL2
NM_001387274.1	DCDC1
NM_001387280.1	FCER1A
NM_001387287.1	CENPL
NM_001387328.1	TASOR2
NM_001387340.1	BCL2L2-PABPN1
NM_001387356.1	ZIM2
NM_001387360.1	TRIM9
NM_001387405.1	ZNF438
NM_001387430.1	SH2B1
NM_001387437.1	AMY2B
NM_001387446.1	TTLL3
NM_001387468.1	PABIR2
NM_001387552.1	ADGRL3
NM_001387564.1	SMIM27
NM_001387567.1	BTBD6
NM_001387579.1	DCAF1
NM_001387601.1	ZNF383
NM_001387646.1	PTK2
NM_001387690.1	KATNAL2
NM_001387691.1	POM121
NM_001387706.1	FAM156A
NM_001387751.1	DMTN
NM_001387777.1	TNS1
NM_001387844.1	PRRC2C
NM_001387850.1	FILIP1L
NM_001387889.1	SFMBT2
NM_001387994.1	BAG6
NM_001388022.1	TRIM66
NM_001388067.1	MIPOL1
NM_001388185.1	JADE2
NM_001388198.1	SPRR2B
NM_001388199.1	TMEM211
NM_001388272.1	SH2D4B
NM_001388303.1	HECTD4
NM_001388306.1	MIDN
NM_001388308.1	KIF12
NM_001388354.1	TMEM191C
NM_001388359.1	KIAA0513
NM_001388368.1	NBPF9
NM_001388419.1	KALRN
NM_001388428.1	TMEM238L
NM_001388432.2	ZNF185
NM_001388447.1	PABIR3
NM_001388459.1	FRMPD3
NM_001388464.1	H2BW2
NM_001388465.1	TBC1D26
NM_001388483.1	ANP32C
NM_001388484.1	DAZ4
NM_001388485.1	LMTK3
NM_001388488.1	OR56A1
NM_001388490.1	MAP7D1
NM_001388492.1	HTT
NM_001388498.1	OR6C3
NM_001388.5	DRG2
NM_001389244.1	KRT40
NM_001389303.1	DAZ2
NM_001389320.1	HNRNPA1L2
NM_001389445.1	CMKLR2
NM_001389466.1	DPEP1
NM_001389556.1	UBXN11
NM_001389.5	DSCAM
NM_001389617.1	NAV1
NM_001389625.1	C12orf76
NM_001389683.1	GOLGA3
NM_001389712.2	GLYATL1
NM_001390846.1	VWA5B2
NM_001390849.1	OR8S1
NM_001391906.1	EIF4G3
NM_001391940.1	MYOCOS
NM_001391956.1	USP54
NM_001391957.1	FHAD1
NM_001391958.1	NLRP10
NM_001391963.1	VDAC2
NM_001391974.1	SPRN
NM_001391983.1	TRERF1
NM_001392013.1	ZNF385C
NM_001392073.1	KAT14
NM_001393339.1	CIDEB
NM_001393344.1	CLUL1
NM_001393381.1	CRACD
NM_001393391.1	MS4A4E
NM_001393392.1	AKR1C2
NM_001393402.1	ALDH3B2
NM_001393487.1	IL18RAP
NM_001393494.1	IL34
NM_001393499.1	BICRAL
NM_001393.4	ECM2
NM_001393500.1	TOMT
NM_001393504.1	MAST3
NM_001393530.1	MATN4
NM_001393532.1	MBD3L1
NM_001393576.1	LOC101930420
NM_001393578.1	MRGPRX1
NM_001393586.1	MYO7B
NM_001393611.1	ANKRD18B
NM_001393612.1	RFPL1
NM_001393629.1	RIMBP2
NM_001393655.1	NT5DC4
NM_001393662.1	VCX
NM_001393663.1	CNPY1
NM_001393704.1	MOBP
NM_001393719.1	ATF7IP2
NM_001393769.1	MED12L
NM_001393797.1	ABCC12
NM_001393816.1	ADIG
NM_001393887.1	IQCF3
NM_001393892.1	PLPPR2
NM_001393907.1	GPR61
NM_001393918.1	CBARP
NM_001393938.1	ZNF888
NM_001393939.1	ANKRD36B
NM_001393982.1	ANKRD36C
NM_001393985.1	ANKRD24
NM_001393986.1	PRDM2
NM_001393989.1	PRH1
NM_001393997.1	CCAR2
NM_001394010.1	PTOV1
NM_001394014.1	CDC42BPA
NM_001394015.1	SH3PXD2A
NM_001394028.1	PYY
NM_001394031.1	R3HDM2
NM_001394037.1	SHF
NM_001394057.1	RAET1E
NM_001394062.1	MACF1
NM_001394063.1	CFAP20DC
NM_001394065.1	CCDC190
NM_001394067.2	RAPGEF2
NM_001394072.1	SYT8
NM_001394074.1	HS6ST2
NM_001394090.1	CFAP92
NM_001394098.1	RASSF8
NM_001394154.1	RGS12
NM_001394165.1	SMIM35
NM_001394167.1	RGS3
NM_001394190.1	RNASE11
NM_001394198.1	ZNF746
NM_001394206.1	SNORC
NM_001394212.1	ROBO2
NM_001394232.1	S100A5
NM_001394245.1	SORBS2
NM_001394298.1	SPACA5
NM_001394311.1	SCMH1
NM_001394319.2	SDR42E2
NM_001394336.1	SPRED3
NM_001394345.1	FAM177B
NM_001394372.1	BICRA
NM_001394376.1	POU2F2
NM_001394390.1	STON2
NM_001394395.1	PPIP5K1
NM_001394396.1	FAM83A
NM_001394401.1	STRA8
NM_001394410.1	STXBP6
NM_001394446.1	LCORL
NM_001394463.1	SH2D6
NM_001394477.1	FCGR2B
NM_001394494.1	FBXL13
NM_001394530.1	LENEP
NM_001394531.1	WDFY4
NM_001394555.1	RFPL2
NM_001394560.1	ZMAT1
NM_001394565.1	ATPAF1
NM_001394583.1	KSR1
NM_001394591.1	C2CD4D
NM_001394600.1	CREM
NM_001394639.1	MROH2A
NM_001394668.1	CT45A7
NM_001394669.1	CCDC57
NM_001394672.2	DCLK3
NM_001394674.1	EMC3
NM_001394713.1	PERM1
NM_001394755.1	TBKBP1
NM_001394757.1	EBLN1
NM_001394758.1	LOC645202
NM_001394779.1	DYRK4
NM_001394783.1	CCR5
NM_001394787.1	GRIFIN
NM_001394789.1	INCA1
NM_001394796.1	INTS14
NM_001394.7	DUSP4
NM_001394807.1	ADPRHL1
NM_001394828.1	OR11A1
NM_001394837.1	KLC1
NM_001394862.1	PRB3
NM_001394865.3	KLHL13
NM_001394869.1	PBRM1
NM_001394894.1	NLRP11
NM_001394901.1	LIMS3
NM_001394922.1	FAM240B
NM_001394940.1	SPDYE14
NM_001394943.1	SPDYE16
NM_001394953.1	SPDYE18
NM_001394954.1	CCDC158
NM_001394955.1	MAIP1
NM_001394956.1	SPDYE4
NM_001394958.1	C20orf202
NM_001394959.1	MARCHF1
NM_001394961.1	NDUFA4L2
NM_001394962.1	KIAA1210
NM_001394970.1	NEK10
NM_001397.3	ECE1
NM_001398.3	ECH1
NM_001399.5	EDA
NM_001400.5	S1PR1
NM_001402.6	EEF1A1
NM_001404.5	EEF1G
NM_001405.4	EFNA2
NM_001406.4	EFNB3
NM_001407.3	CELSR3
NM_001408.3	CELSR2
NM_001409.4	MEGF6
NM_001412.4	EIF1AX
NM_001414.4	EIF2B1
NM_001415.4	EIF2S3
NM_001416.4	EIF4A1
NM_001417.7	EIF4B
NM_001418.4	EIF4G2
NM_001419.3	ELAVL1
NM_001420.4	ELAVL3
NM_001421.4	ELF4
NM_001422.4	ELF5
NM_001423.3	EMP1
NM_001424.6	EMP2
NM_001425.3	EMP3
NM_001426.4	EN1
NM_001427.4	EN2
NM_001428.5	ENO1
NM_001429.4	EP300
NM_001430.5	EPAS1
NM_001431.4	EPB41L2
NM_001432.3	EREG
NM_001433.5	ERN1
NM_001436.4	FBL
NM_001437.3	ESR2
NM_001438.4	ESRRG
NM_001440.4	EXTL3
NM_001441.3	FAAH
NM_001442.3	FABP4
NM_001443.3	FABP1
NM_001444.3	FABP5
NM_001445.3	FABP6
NM_001446.5	FABP7
NM_001447.3	FAT2
NM_001448.3	GPC4
NM_001451.3	FOXF1
NM_001452.2	FOXF2
NM_001453.3	FOXC1
NM_001454.4	FOXJ1
NM_001455.4	FOXO3
NM_001457.4	FLNB
NM_001458.5	FLNC
NM_001459.4	FLT3LG
NM_001460.5	FMO2
NM_001461.4	FMO5
NM_001463.4	FRZB
NM_001464.5	ADAM2
NM_001465.6	FYB1
NM_001466.4	FZD2
NM_001469.5	XRCC6
NM_001470.4	GABBR1
NM_001478.5	B4GALNT1
NM_001480.4	GALR1
NM_001481.3	GAS8
NM_001482.3	GATM
NM_001483.3	NIPSNAP2
NM_001485.4	GBX2
NM_001486.4	GCKR
NM_001487.4	BLOC1S1
NM_001490.5	GCNT1
NM_001492.6	GDF1
NM_001493.3	GDI1
NM_001494.4	GDI2
NM_001495.5	GFRA2
NM_001496.4	GFRA3
NM_001497.4	B4GALT1
NM_001498.4	GCLC
NM_001500.4	GMDS
NM_001502.4	GP2
NM_001503.4	GPLD1
NM_001504.2	CXCR3
NM_001506.2	GPR32
NM_001507.1	MLNR
NM_001508.3	GPR39
NM_001509.3	GPX5
NM_001510.4	GRID2
NM_001511.4	CXCL1
NM_001512.4	GSTA4
NM_001514.6	GTF2B
NM_001515.3	GTF2H2
NM_001516.5	GTF2H3
NM_001517.5	GTF2H4
NM_001519.4	BRF1
NM_001520.4	GTF3C1
NM_001522.3	GUCY2F
NM_001524.1	HCRT
NM_001525.3	HCRTR1
NM_001527.4	HDAC2
NM_001528.4	HGFAC
NM_001530.4	HIF1A
NM_001532.3	SLC29A2
NM_001533.3	HNRNPL
NM_001536.6	PRMT1
NM_001537.4	HSBP1
NM_001539.4	DNAJA1
NM_001540.5	HSPB1
NM_001541.4	HSPB2
NM_001543.5	NDST1
NM_001544.5	ICAM4
NM_001545.3	MRPL58
NM_001546.4	ID4
NM_001547.5	IFIT2
NM_001548.5	IFIT1
NM_001549.6	IFIT3
NM_001550.4	IFRD1
NM_001551.3	IGBP1
NM_001552.3	IGFBP4
NM_001553.3	IGFBP7
NM_001554.5	CCN1
NM_001555.5	IGSF1
NM_001556.3	IKBKB
NM_001557.4	CXCR2
NM_001558.4	IL10RA
NM_001560.3	IL13RA1
NM_001561.6	TNFRSF9
NM_001562.4	IL18
NM_001563.4	IMPG1
NM_001564.4	ING2
NM_001565.4	CXCL10
NM_001567.4	INPPL1
NM_001568.3	EIF3E
NM_001569.4	IRAK1
NM_001570.4	IRAK2
NM_001571.6	IRF3
NM_001572.5	IRF7
NM_001584.3	MPPED2
NM_001586.2	TEX28
NM_001605.3	AARS1
NM_001606.5	ABCA2
NM_001607.4	ACAA1
NM_001608.4	ACADL
NM_001609.4	ACADSB
NM_001610.4	ACP2
NM_001611.5	ACP5
NM_001612.6	ACRV1
NM_001613.4	ACTA2
NM_001614.5	ACTG1
NM_001615.4	ACTG2
NM_001616.5	ACVR2A
NM_001617.4	ADD2
NM_001618.4	PARP1
NM_001619.5	GRK2
NM_001620.3	AHNAK
NM_001621.5	AHR
NM_001622.4	AHSG
NM_001623.5	AIF1
NM_001625.4	AK2
NM_001626.6	AKT2
NM_001627.4	ALCAM
NM_001628.4	AKR1B1
NM_001629.4	ALOX5AP
NM_001631.5	ALPI
NM_001632.5	ALPP
NM_001633.4	AMBP
NM_001634.6	AMD1
NM_001635.4	AMPH
NM_001636.4	SLC25A6
NM_001637.4	AOAH
NM_001638.4	APOF
NM_001639.4	APCS
NM_001640.4	APEH
NM_001641.4	APEX1
NM_001643.2	APOA2
NM_001644.5	APOBEC1
NM_001645.5	APOC1
NM_001646.3	APOC4
NM_001647.4	APOD
NM_001648.2	KLK3
NM_001649.4	SHROOM2
NM_001650.7	AQP4
NM_001651.4	AQP5
NM_001652.4	AQP6
NM_001654.5	ARAF
NM_001655.5	ARCN1
NM_001656.4	TRIM23
NM_001657.4	AREG
NM_001658.4	ARF1
NM_001659.3	ARF3
NM_001660.4	ARF4
NM_001661.4	ARL4D
NM_001662.4	ARF5
NM_001663.4	ARF6
NM_001664.4	RHOA
NM_001665.4	RHOG
NM_001666.5	ARHGAP4
NM_001667.4	ARL2
NM_001668.4	ARNT
NM_001669.4	ARSD
NM_001670.3	ARVCF
NM_001671.5	ASGR1
NM_001672.3	ASIP
NM_001673.5	ASNS
NM_001674.4	ATF3
NM_001676.7	ATP12A
NM_001677.4	ATP1B1
NM_001678.5	ATP1B2
NM_001679.4	ATP1B3
NM_001680.5	FXYD2
NM_001684.5	ATP2B4
NM_001686.4	ATP5F1B
NM_001687.5	ATP5F1D
NM_001688.5	ATP5PB
NM_001689.5	ATP5MC3
NM_001690.4	ATP6V1A
NM_001692.4	ATP6V1B1
NM_001693.4	ATP6V1B2
NM_001694.4	ATP6V0C
NM_001695.5	ATP6V1C1
NM_001696.4	ATP6V1E1
NM_001697.3	ATP5PO
NM_001698.3	AUH
NM_001700.5	AZU1
NM_001701.4	BAAT
NM_001702.3	ADGRB1
NM_001704.3	ADGRB3
NM_001706.5	BCL6
NM_001707.4	BCL7B
NM_001709.5	BDNF
NM_001710.6	CFB
NM_001711.6	BGN
NM_001712.5	CEACAM1
NM_001713.3	BHMT
NM_001714.4	BICD1
NM_001715.3	BLK
NM_001716.5	CXCR5
NM_001717.4	BNC1
NM_001718.6	BMP6
NM_001719.3	BMP7
NM_001720.5	BMP8B
NM_001722.3	POLR3D
NM_001724.5	BPGM
NM_001725.3	BPI
NM_001727.2	BRS3
NM_001728.4	BSG
NM_001729.4	BTC
NM_001730.5	KLF5
NM_001731.3	BTG1
NM_001732.3	BTN1A1
NM_001733.7	C1R
NM_001734.5	C1S
NM_001735.3	C5
NM_001736.4	C5AR1
NM_001737.5	C9
NM_001739.2	CA5A
NM_001740.5	CALB2
NM_001741.3	CALCA
NM_001742.4	CALCR
NM_001743.6	CALM2
NM_001744.6	CAMK4
NM_001745.4	CAMLG
NM_001746.4	CANX
NM_001747.4	CAPG
NM_001748.5	CAPN2
NM_001749.4	CAPNS1
NM_001750.7	CAST
NM_001752.4	CAT
NM_001753.5	CAV1
NM_001754.5	RUNX1
NM_001756.4	SERPINA6
NM_001757.4	CBR1
NM_001759.4	CCND2
NM_001760.5	CCND3
NM_001761.3	CCNF
NM_001762.4	CCT6A
NM_001763.3	CD1A
NM_001764.3	CD1B
NM_001765.3	CD1C
NM_001767.5	CD2
NM_001768.7	CD8A
NM_001769.4	CD9
NM_001770.6	CD19
NM_001771.4	CD22
NM_001772.4	CD33
NM_001774.3	CD37
NM_001775.4	CD38
NM_001776.6	ENTPD1
NM_001777.4	CD47
NM_001778.4	CD48
NM_001779.3	CD58
NM_001780.6	CD63
NM_001781.2	CD69
NM_001782.3	CD72
NM_001783.4	CD79A
NM_001785.3	CDA
NM_001786.5	CDK1
NM_001788.6	SEPTIN7
NM_001789.3	CDC25A
NM_001790.5	CDC25C
NM_001791.4	CDC42
NM_001792.5	CDH2
NM_001793.6	CDH3
NM_001794.5	CDH4
NM_001795.5	CDH5
NM_001796.5	CDH8
NM_001797.4	CDH11
NM_001798.5	CDK2
NM_001799.4	CDK7
NM_001800.4	CDKN2D
NM_001801.3	CDO1
NM_001802.2	CDR2
NM_001803.3	CD52
NM_001804.3	CDX1
NM_001805.4	CEBPE
NM_001806.4	CEBPG
NM_001807.6	CEL
NM_001809.4	CENPA
NM_001810.6	CENPB
NM_001812.4	CENPC
NM_001813.3	CENPE
NM_001814.6	CTSC
NM_001815.5	CEACAM3
NM_001816.4	CEACAM8
NM_001817.4	CEACAM4
NM_001818.5	AKR1C4
NM_001819.3	CHGB
NM_001822.7	CHN1
NM_001823.5	CKB
NM_001824.5	CKM
NM_001826.3	CKS1B
NM_001827.3	CKS2
NM_001828.6	CLC
NM_001829.4	CLCN3
NM_001830.4	CLCN4
NM_001831.4	CLU
NM_001832.4	CLPS
NM_001833.4	CLTA
NM_001836.5	CMA1
NM_001838.4	CCR7
NM_001839.5	CNN3
NM_001841.3	CNR2
NM_001843.4	CNTN1
NM_001844.5	COL2A1
NM_001845.6	COL4A1
NM_001846.4	COL4A2
NM_001848.3	COL6A1
NM_001849.4	COL6A2
NM_001851.6	COL9A1
NM_001852.4	COL9A2
NM_001853.4	COL9A3
NM_001854.4	COL11A1
NM_001855.5	COL15A1
NM_001856.4	COL16A1
NM_001858.6	COL19A1
NM_001859.4	SLC31A1
NM_001860.3	SLC31A2
NM_001861.6	COX4I1
NM_001862.3	COX5B
NM_001863.5	COX6B1
NM_001864.4	COX7A1
NM_001866.3	COX7B
NM_001867.3	COX7C
NM_001868.4	CPA1
NM_001869.3	CPA2
NM_001870.4	CPA3
NM_001871.3	CPB1
NM_001872.5	CPB2
NM_001873.4	CPE
NM_001875.5	CPS1
NM_001876.4	CPT1A
NM_001878.4	CRABP2
NM_001880.4	ATF2
NM_001882.4	CRHBP
NM_001883.5	CRHR2
NM_001884.4	HAPLN1
NM_001886.3	CRYBA4
NM_001887.4	CRYBB1
NM_001889.4	CRYZ
NM_001890.2	CSN1S1
NM_001891.4	CSN2
NM_001892.6	CSNK1A1
NM_001893.6	CSNK1D
NM_001896.4	CSNK2A2
NM_001897.5	CSPG4
NM_001898.3	CST1
NM_001899.3	CST4
NM_001900.5	CST5
NM_001901.4	CCN2
NM_001902.6	CTH
NM_001903.5	CTNNA1
NM_001904.4	CTNNB1
NM_001905.4	CTPS1
NM_001906.6	CTRB1
NM_001907.3	CTRL
NM_001908.5	CTSB
NM_001909.5	CTSD
NM_001910.4	CTSE
NM_001911.3	CTSG
NM_001912.5	CTSL
NM_001915.4	CYB561
NM_001916.5	CYC1
NM_001917.5	DAO
NM_001918.5	DBT
NM_001919.4	ECI1
NM_001920.5	DCN
NM_001921.3	DCTD
NM_001922.5	DCT
NM_001923.5	DDB1
NM_001924.4	GADD45A
NM_001925.3	DEFA4
NM_001926.4	DEFA6
NM_001927.4	DES
NM_001928.4	CFD
NM_001930.4	DHPS
NM_001931.5	DLAT
NM_001932.6	MPP3
NM_001933.5	DLST
NM_001935.4	DPP4
NM_001937.5	DPT
NM_001938.3	DR1
NM_001939.3	DRP2
NM_001940.4	ATN1
NM_001941.5	DSC3
NM_001942.4	DSG1
NM_001943.5	DSG2
NM_001944.3	DSG3
NM_001945.3	HBEGF
NM_001946.4	DUSP6
NM_001947.4	DUSP7
NM_001949.5	E2F3
NM_001950.4	E2F4
NM_001951.4	E2F5
NM_001953.5	TYMP
NM_001955.5	EDN1
NM_001956.5	EDN2
NM_001957.4	EDNRA
NM_001958.5	EEF1A2
NM_001959.4	EEF1B2
NM_001961.4	EEF2
NM_001962.3	EFNA5
NM_001963.6	EGF
NM_001964.3	EGR1
NM_001965.4	EGR4
NM_001966.4	EHHADH
NM_001967.4	EIF4A2
NM_001968.5	EIF4E
NM_001969.5	EIF5
NM_001970.5	EIF5A
NM_001971.6	CELA1
NM_001972.4	ELANE
NM_001973.4	ELK4
NM_001974.5	ADGRE1
NM_001975.3	ENO2
NM_001977.4	ENPEP
NM_001979.6	EPHX2
NM_001981.3	EPS15
NM_001982.4	ERBB3
NM_001983.4	ERCC1
NM_001984.2	ESD
NM_001985.3	ETFB
NM_001987.5	ETV6
NM_001988.4	EVPL
NM_001989.5	EVX1
NM_001990.4	EYA3
NM_001991.5	EZH1
NM_001992.5	F2R
NM_001993.5	F3
NM_001994.3	F13B
NM_001995.5	ACSL1
NM_001997.5	FAU
NM_001999.4	FBN2
NM_002000.4	FCAR
NM_002003.5	FCN1
NM_002004.4	FDPS
NM_002005.4	FES
NM_002007.4	FGF4
NM_002009.4	FGF7
NM_002010.3	FGF9
NM_002012.4	FHIT
NM_002013.4	FKBP3
NM_002014.4	FKBP4
NM_002015.4	FOXO1
NM_002016.2	FLG
NM_002017.5	FLI1
NM_002018.4	FLII
NM_002019.4	FLT1
NM_002022.3	FMO4
NM_002023.5	FMOD
NM_002024.6	FMR1
NM_002025.4	AFF2
NM_002027.3	FNTA
NM_002028.4	FNTB
NM_002029.4	FPR1
NM_002030.5	FPR3
NM_002031.3	FRK
NM_002032.3	FTH1
NM_002033.4	FUT4
NM_002034.2	FUT5
NM_002035.4	KDSR
NM_002036.4	ACKR1
NM_002037.5	FYN
NM_002038.4	IFI6
NM_002039.4	GAB1
NM_002040.4	GABPA
NM_002042.5	GABRR1
NM_002043.5	GABRR2
NM_002044.4	GALK2
NM_002045.4	GAP43
NM_002046.7	GAPDH
NM_002047.4	GARS1
NM_002048.3	GAS1
NM_002049.4	GATA1
NM_002053.3	GBP1
NM_002054.5	GCG
NM_002055.5	GFAP
NM_002059.5	GH2
NM_002060.3	GJA4
NM_002061.4	GCLM
NM_002062.5	GLP1R
NM_002063.4	GLRA2
NM_002066.3	GML
NM_002067.5	GNA11
NM_002068.4	GNA15
NM_002069.6	GNAI1
NM_002070.4	GNAI2
NM_002072.5	GNAQ
NM_002073.4	GNAZ
NM_002074.5	GNB1
NM_002075.4	GNB3
NM_002076.4	GNS
NM_002077.4	GOLGA1
NM_002078.5	GOLGA4
NM_002079.3	GOT1
NM_002080.4	GOT2
NM_002081.3	GPC1
NM_002083.4	GPX2
NM_002084.5	GPX3
NM_002085.5	GPX4
NM_002086.5	GRB2
NM_002087.4	GRN
NM_002088.5	GRIK5
NM_002089.4	CXCL2
NM_002090.3	CXCL3
NM_002091.5	GRP
NM_002092.4	GRSF1
NM_002094.4	GSPT1
NM_002095.6	GTF2E2
NM_002096.3	GTF2F1
NM_002097.3	GTF3A
NM_002098.6	GUCA1B
NM_002099.8	GYPA
NM_002100.6	GYPB
NM_002101.5	GYPC
NM_002103.5	GYS1
NM_002104.3	GZMK
NM_002105.3	H2AX
NM_002106.4	H2AZ1
NM_002107.7	H3-3A
NM_002108.4	HAL
NM_002109.6	HARS1
NM_002110.5	HCK
NM_002112.4	HDC
NM_002113.3	CFHR1
NM_002114.4	HIVEP1
NM_002115.3	HK3
NM_002116.8	HLA-A
NM_002118.5	HLA-DMB
NM_002119.4	HLA-DOA
NM_002120.4	HLA-DOB
NM_002121.6	HLA-DPB1
NM_002122.5	HLA-DQA1
NM_002125.4	HLA-DRB5
NM_002126.5	HLF
NM_002128.7	HMGB1
NM_002129.4	HMGB2
NM_002133.3	HMOX1
NM_002134.4	HMOX2
NM_002137.4	HNRNPA2B1
NM_002139.4	RBMX
NM_002141.5	HOXA4
NM_002143.3	HPCA
NM_002144.4	HOXB1
NM_002145.4	HOXB2
NM_002147.4	HOXB5
NM_002148.4	HOXD10
NM_002149.4	HPCAL1
NM_002150.3	HPD
NM_002152.3	HRC
NM_002153.3	HSD17B2
NM_002154.4	HSPA4
NM_002155.5	HSPA6
NM_002156.5	HSPD1
NM_002157.3	HSPE1
NM_002158.4	FOXN2
NM_002159.4	HTN1
NM_002160.4	TNC
NM_002161.6	IARS1
NM_002162.5	ICAM3
NM_002163.4	IRF8
NM_002164.6	IDO1
NM_002165.4	ID1
NM_002166.5	ID2
NM_002167.5	ID3
NM_002168.4	IDH2
NM_002169.3	IFNA5
NM_002170.4	IFNA8
NM_002171.2	IFNA10
NM_002172.3	IFNA14
NM_002173.3	IFNA16
NM_002175.2	IFNA21
NM_002176.4	IFNB1
NM_002177.3	IFNW1
NM_002178.3	IGFBP6
NM_002180.3	IGHMBP2
NM_002181.4	IHH
NM_002182.4	IL1RAP
NM_002183.4	IL3RA
NM_002184.4	IL6ST
NM_002185.5	IL7R
NM_002186.3	IL9R
NM_002187.3	IL12B
NM_002188.3	IL13
NM_002189.4	IL15RA
NM_002190.3	IL17A
NM_002191.4	INHA
NM_002192.4	INHBA
NM_002193.4	INHBB
NM_002195.2	INSL4
NM_002196.3	INSM1
NM_002197.3	ACO1
NM_002198.3	IRF1
NM_002199.4	IRF2
NM_002201.6	ISG20
NM_002202.3	ISL1
NM_002203.4	ITGA2
NM_002204.4	ITGA3
NM_002205.5	ITGA5
NM_002206.3	ITGA7
NM_002207.3	ITGA9
NM_002208.5	ITGAE
NM_002209.3	ITGAL
NM_002210.5	ITGAV
NM_002211.4	ITGB1
NM_002212.4	EIF6
NM_002213.5	ITGB5
NM_002214.3	ITGB8
NM_002215.4	ITIH1
NM_002216.3	ITIH2
NM_002217.4	ITIH3
NM_002218.5	ITIH4
NM_002220.3	ITPKA
NM_002221.4	ITPKB
NM_002223.4	ITPR2
NM_002224.4	ITPR3
NM_002225.5	IVD
NM_002226.5	JAG2
NM_002227.4	JAK1
NM_002228.4	JUN
NM_002229.3	JUNB
NM_002230.4	JUP
NM_002231.4	CD82
NM_002232.5	KCNA3
NM_002233.4	KCNA4
NM_002234.4	KCNA5
NM_002235.4	KCNA6
NM_002236.5	KCNF1
NM_002237.4	KCNG1
NM_002239.4	KCNJ3
NM_002240.5	KCNJ6
NM_002241.5	KCNJ10
NM_002242.4	KCNJ13
NM_002245.4	KCNK1
NM_002246.3	KCNK3
NM_002249.6	KCNN3
NM_002250.3	KCNN4
NM_002252.5	KCNS3
NM_002253.4	KDR
NM_002254.8	KIF3C
NM_002256.4	KISS1
NM_002257.4	KLK1
NM_002258.3	KLRB1
NM_002259.5	KLRC1
NM_002260.4	KLRC2
NM_002261.3	KLRC3
NM_002262.5	KLRD1
NM_002263.4	KIFC1
NM_002264.4	KPNA1
NM_002265.6	KPNB1
NM_002266.4	KPNA2
NM_002267.4	KPNA3
NM_002268.5	KPNA4
NM_002270.4	TNPO1
NM_002271.6	IPO5
NM_002272.4	KRT4
NM_002273.4	KRT8
NM_002275.4	KRT15
NM_002276.5	KRT19
NM_002277.3	KRT31
NM_002278.3	KRT32
NM_002279.5	KRT33B
NM_002280.6	KRT35
NM_002281.4	KRT81
NM_002282.3	KRT83
NM_002283.4	KRT85
NM_002286.6	LAG3
NM_002287.6	LAIR1
NM_002288.6	LAIR2
NM_002289.3	LALBA
NM_002291.3	LAMB1
NM_002292.4	LAMB2
NM_002293.4	LAMC1
NM_002294.3	LAMP2
NM_002295.6	RPSA
NM_002296.4	LBR
NM_002297.4	LCN1
NM_002298.5	LCP1
NM_002299.4	LCT
NM_002300.8	LDHB
NM_002302.3	LECT2
NM_002303.6	LEPR
NM_002305.4	LGALS1
NM_002306.4	LGALS3
NM_002307.4	LGALS7
NM_002309.5	LIF
NM_002313.7	ABLIM1
NM_002314.4	LIMK1
NM_002315.3	LMO1
NM_002317.7	LOX
NM_002318.3	LOXL2
NM_002319.5	LRCH4
NM_002332.3	LRP1
NM_002333.4	LRP3
NM_002334.4	LRP4
NM_002335.4	LRP5
NM_002336.3	LRP6
